500,0.003681
1000,0.014488
1500,0.033175
2000,0.060176
2500,0.093702
3000,0.130994
3500,0.176779
4000,0.229307
4500,0.289014
5000,0.367586
5500,0.439728
6000,0.556425
6500,0.602691
7000,0.707061
7500,0.824588
8000,0.957827
8500,2.10196
9000,2.2478
9500,2.3133
